tcpConnections,dnsSize,totalTasks,runningTasks,sleepingTasks,stoppedTasks,zombie,totalMemory,freeMemory,usedMemory,bufferCache,totalSwap,freeSwap,usedSwap,availableMemory,deviceState,IOStats_tps,IOStats_rtps,IOStats_wtps,IOStats_dtps,IOStats_bread/s,IOStats_bwrtn/s,IOStats_bdscd/s,CPU Utilization_CPU,CPU Utilization_%user,CPU Utilization_%nice,CPU Utilization_%system,CPU Utilization_%iowait,CPU Utilization_%steal,CPU Utilization_%idle,Memory Utilization_kbmemfree,Memory Utilization_kbavail,Memory Utilization_kbmemused,Memory Utilization_%memused,Memory Utilization_kbbuffers,Memory Utilization_kbcached,Memory Utilization_kbcommit,Memory Utilization_%commit,Memory Utilization_kbactive,Memory Utilization_kbinact,Memory Utilization_kbdirty,Disk Device Status_DEV,Disk Device Status_tps,Disk Device Status_rkB/s,Disk Device Status_wkB/s,Disk Device Status_dkB/s,Disk Device Status_areq-sz,Disk Device Status_aqu-sz,Disk Device Status_await,Disk Device Status_%util,Processor Queue_runq-sz,Processor Queue_plist-sz,Processor Queue_ldavg-1,Processor Queue_ldavg-5,Processor Queue_ldavg-15,Processor Queue_blocked
249,79,183,2,181,0,0,922.8,230.1,228.6,464.2,100,100,0,622.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,17,184,2,182,0,0,922.8,219.9,238.2,464.8,100,100,0,613.3,1,0.4,0,0.4,0,0,8.8,0,all,25.24,0,0.65,0.03,0,74.08,227949,630766,223268,23.63,29614,428057,1512560,144.41,121038,525627,514,mmcblk0,0.4,0,4.4,0,11,0,2.75,0.3,1,290,1.5,0.71,0.29,0
144,28,184,2,182,0,0,922.8,218.4,239.7,464.8,100,100,0,611.8,1,1.7,0,1.7,0,0,40.8,0,all,25.22,0,0.93,0,0,73.85,225528,628409,225555,23.87,29660,428073,1513706,144.52,121231,528018,150,mmcblk0,1.7,0,20.4,0,12,0.03,16.82,0.5,1,290,1.5,0.8,0.34,0
178,15,175,2,173,0,0,922.8,216,242,464.9,100,100,0,609.5,1,0.4,0,0.4,0,0,8.8,0,all,25.48,0,0.45,0.03,0,74.04,223211,626266,227639,24.09,29709,428192,1514898,144.64,121278,530239,220,mmcblk0,0.4,0,4.4,0,11,0,3,0.3,1,289,1.55,0.88,0.38,0
157,28,171,2,169,0,0,922.8,212.7,245.2,464.9,100,100,0,606.3,1,0.2,0,0.2,0,0,7.2,0,all,25.4,0,0.73,0,0,73.87,220445,623444,230407,24.38,29762,428090,1524362,145.54,121336,533206,27,mmcblk0,1,0,8.4,0,8.4,0.01,7.7,0.3,1,276,1.98,1.05,0.46,0
152,22,172,3,169,0,0,922.8,210.4,247.5,464.9,100,100,0,603.9,2,0.2,0,0.2,0,0,6.4,0,all,25.15,0,0.93,0.03,0,73.9,217458,620574,233379,24.7,29808,428162,1525411,145.64,121380,535785,90,mmcblk0,0.2,0,3.2,0,16,0,3,0.1,1,278,1.99,1.15,0.51,0
143,18,173,2,171,0,0,922.8,209.3,248.5,465,100,100,0,603,2,0.2,0,0.2,0,0,5.6,0,all,25.22,0,0.5,0,0,74.28,215754,618847,234958,24.86,29850,428092,1526435,145.74,121424,537534,180,mmcblk0,0.2,0,2.8,0,14,0,2.5,0.1,1,279,1.66,1.15,0.53,0
169,10,173,2,171,0,0,922.8,206.8,250.9,465.1,100,100,0,600.6,2,0.2,0,0.2,0,0,5.6,0,all,25.56,0,0.8,0.03,0,73.61,213802,617012,236851,25.06,29888,428170,1526947,145.79,121464,539434,22,mmcblk0,0.2,0,2.8,0,14,0,3.5,0.1,1,279,1.67,1.2,0.57,0
169,26,173,1,172,0,0,922.8,205.9,251.8,465.2,100,100,0,599.7,2,0.2,0,0.2,0,0,5.6,0,all,26.05,0,1.03,0,0,72.92,212256,615527,238196,25.21,29929,428188,1527640,145.85,121504,540973,416,mmcblk0,0.2,0,2.8,0,14,0,2.5,0.1,1,279,1.8,1.28,0.62,0
149,12,174,1,173,0,0,922.8,203.2,254.5,465.2,100,100,0,596.9,0,5.5,0,5.5,0,0,92,0,all,27.07,0,2.42,0.03,0,70.49,207896,611146,242446,25.66,29971,428127,1537302,146.78,122062,544276,260,mmcblk0,5.5,0,46,0,8.36,0.2,36.82,1.2,1,282,1.91,1.36,0.67,0
154,20,174,2,172,0,0,922.8,201.4,256,465.5,100,100,0,595.4,0,0.2,0,0.2,0,0,4.8,0,all,25.16,0,0.75,0,0,74.08,207922,611376,242049,25.61,30019,428287,1529732,146.05,122450,543938,428,mmcblk0,0.2,0,2.4,0,12,0,2.5,0.1,1,280,1.6,1.34,0.69,0
164,7,174,2,172,0,0,922.8,200.5,256.9,465.4,100,100,0,594.5,0,0.2,0,0.2,0,0,5.6,0,all,25.52,0,0.53,0.03,0,73.93,206534,609908,243538,25.77,30062,428166,1530679,146.14,122490,545132,256,mmcblk0,0.2,0,2.8,0,14,0,4,0.1,1,280,1.55,1.34,0.71,0
154,17,175,2,173,0,0,922.8,195.7,260.5,466.6,100,100,0,590.8,0,2.9,0,2.9,0,0,49.6,0,all,25.23,0,0.55,0.03,0,74.19,200248,604951,248486,26.3,30260,429299,1536110,146.66,123367,550498,424,mmcblk0,2.9,0,24.8,0,8.55,0.06,20.28,0.6,1,283,1.9,1.47,0.78,0
156,20,174,3,171,0,0,922.8,193.4,262.7,466.7,100,100,0,588.6,3,0.5,0,0.5,0,0,8.8,0,all,26.17,0,0.73,0.03,0,73.08,200188,604947,248344,26.28,30316,429300,1534723,146.53,123807,550173,307,mmcblk0,0.5,0,4.4,0,8.8,0,2.6,0.4,1,282,1.73,1.47,0.8,0
151,12,173,2,171,0,0,922.8,192,264.1,466.7,100,100,0,587.3,3,0.2,0,0.2,0,0,4.8,0,all,25.87,0,1.03,0.03,0,73.07,198132,602875,250609,26.52,30362,429234,1535747,146.63,123853,551741,224,mmcblk0,0.2,0,2.4,0,12,0,3,0.2,1,279,1.52,1.45,0.82,0
166,26,173,2,171,0,0,922.8,189.6,266.4,466.8,100,100,0,585,3,0.4,0,0.4,0,0,8,0,all,26.98,0,1.46,0.05,0,71.51,195445,600304,253087,26.78,30406,429302,1537048,146.75,123896,554408,321,mmcblk0,0.4,0,4,0,10,0,3,0.2,1,279,1.91,1.54,0.87,0
